Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
17:05:09 Jan 08 2024,99,90,0,0,0
17:05:13 Jan 08 2024,99,90,0,0,0
17:05:17 Jan 08 2024,99,90,7,0,0
17:05:21 Jan 08 2024,99,90,0,0,0
17:05:25 Jan 08 2024,99,90,1,0,0
17:05:29 Jan 08 2024,99,83,0,0,0
17:05:33 Jan 08 2024,99,84,0,0,0
17:05:37 Jan 08 2024,99,83,0,0,0
17:05:41 Jan 08 2024,99,83,0,0,0
17:05:45 Jan 08 2024,99,83,0,0,0
17:05:49 Jan 08 2024,99,85,0,0,0
17:05:53 Jan 08 2024,99,86,0,0,0
17:05:57 Jan 08 2024,99,86,0,0,0
17:06:01 Jan 08 2024,99,88,0,0,0
17:06:05 Jan 08 2024,99,89,0,0,0
17:06:09 Jan 08 2024,99,86,0,0,0
17:06:13 Jan 08 2024,99,83,0,0,0
17:06:17 Jan 08 2024,99,81,0,0,0
17:06:21 Jan 08 2024,99,83,1,0,0
